Estimate	StdError	Pval	PvalFDR	Modules	Outcome	Model
1.3921335693189656	2.2201955218834932	0.5306382797633623	0.5837021077396986	M1	ADraw	AD_CTL ~ M1
-0.9094421477323731	2.2765156795444335	0.6895331941498204	0.6895331941498204	M2	ADraw	AD_CTL ~ M2
-1.6022084905274825	2.206247086116246	0.46770732149844935	0.5716422818314382	M3	ADraw	AD_CTL ~ M3
4.297162474417772	2.2660470401399064	0.057917034571911385	0.13898489206362177	M4	ADraw	AD_CTL ~ M4
-5.520363497414658	2.2578273035752594	0.014485645744855747	0.07967105159670661	M5	ADraw	AD_CTL ~ M5
3.50090610734831	2.2722677792930286	0.12338733721981823	0.19389438705971437	M6	ADraw	AD_CTL ~ M6
4.13186395828277	2.2238734788023855	0.06317495093800989	0.13898489206362177	M7	ADraw	AD_CTL ~ M7
-1.7749164011366987	2.250562211333348	0.43031386785304154	0.5716422818314382	M8	ADraw	AD_CTL ~ M8
5.0855110909421946	2.28877661679994	0.02628775125924067	0.09638842128388245	M9	ADraw	AD_CTL ~ M9
3.5605290614312612	2.239315323831393	0.11183302372491453	0.19389438705971437	M10	ADraw	AD_CTL ~ M10
6.959258003285219	2.305126817561169	0.0025358142972604415	0.027893957269864857	M11	ADraw	AD_CTL ~ M11
1.4058566015316853	2.310246213564458	0.5428353053089905	0.5971188358398896	M1	ADsex	AD_CTL ~ M1 + Sex
-0.9293864268715928	2.2794294016139722	0.6834736246458248	0.6834736246458248	M2	ADsex	AD_CTL ~ M2 + Sex
-1.8871521788374492	2.3208788264014895	0.4161494613804738	0.5193884730743777	M3	ADsex	AD_CTL ~ M3 + Sex
4.790361814453012	2.430592770934356	0.04873971517166717	0.1340342167220847	M4	ADsex	AD_CTL ~ M4 + Sex
-5.641835089520986	2.2749768059580053	0.01313997770105866	0.07226987735582263	M5	ADsex	AD_CTL ~ M5 + Sex
3.712106469909592	2.3743398777596436	0.11795225320530955	0.18535354075120072	M6	ADsex	AD_CTL ~ M6 + Sex
4.154571002526021	2.2416484775430487	0.06383145514138892	0.14042920131105566	M7	ADsex	AD_CTL ~ M7 + Sex
-1.7982267434856505	2.253824386132039	0.4249542052426727	0.5193884730743777	M8	ADsex	AD_CTL ~ M8 + Sex
5.554927115083877	2.4220280814382	0.021819099781103753	0.08000336586404709	M9	ADsex	AD_CTL ~ M9 + Sex
3.815689498294608	2.354343145545904	0.10508148670916242	0.18535354075120072	M10	ADsex	AD_CTL ~ M10 + Sex
7.393388698056294	2.3951678220108317	0.0020232803115088956	0.02225608342659785	M11	ADsex	AD_CTL ~ M11 + Sex
2.13824283600398	2.625140994925917	0.4153442853325365	0.4928800403032282	M1	ADtotalTG	AD_CTL ~ M1 + Total_TG
-0.8199841153030023	3.5208986468819057	0.815846376215952	0.815846376215952	M2	ADtotalTG	AD_CTL ~ M2 + Total_TG
-1.7094279863098725	2.2533034907347735	0.4480727639120256	0.4928800403032282	M3	ADtotalTG	AD_CTL ~ M3 + Total_TG
4.533789725085025	2.3041589984800166	0.04910775926271259	0.13504633797245963	M4	ADtotalTG	AD_CTL ~ M4 + Total_TG
-9.320669863023886	3.0707781194393746	0.002403128744265898	0.014875523999766799	M5	ADtotalTG	AD_CTL ~ M5 + Total_TG
4.497360029987609	2.5383361406749296	0.07643194585013102	0.14012523405857352	M6	ADtotalTG	AD_CTL ~ M6 + Total_TG
4.049533073572746	2.2370078672885656	0.0702577488874074	0.14012523405857352	M7	ADtotalTG	AD_CTL ~ M7 + Total_TG
-3.305668816521189	3.7420043701941204	0.3770227663396767	0.4928800403032282	M8	ADtotalTG	AD_CTL ~ M8 + Total_TG
5.470035676879212	2.3471960834193495	0.019782097128813153	0.07253435613898156	M9	ADtotalTG	AD_CTL ~ M9 + Total_TG
4.0083745531835	2.3774555518854448	0.0917970556907992	0.1442525160855416	M10	ADtotalTG	AD_CTL ~ M10 + Total_TG
6.977465658432628	2.3262453606164355	0.002704640727230327	0.014875523999766799	M11	ADtotalTG	AD_CTL ~ M11 + Total_TG
1.2813552151595962	2.48494098286132	0.6061001759058537	0.669465449309009	M1	ADapoe	AD_CTL ~ M1 + e4_c
-1.2932031262999868	2.525462758668056	0.6086049539172809	0.669465449309009	M2	ADapoe	AD_CTL ~ M2 + e4_c
-2.3449871298791733	2.4859235274566376	0.34552429446631566	0.47509590489118403	M3	ADapoe	AD_CTL ~ M3 + e4_c
4.183291240279569	2.5537477468802705	0.10140107543765191	0.2230823659628342	M4	ADapoe	AD_CTL ~ M4 + e4_c
-5.058876985031552	2.4761479223325353	0.04104816944232114	0.11288246596638314	M5	ADapoe	AD_CTL ~ M5 + e4_c
2.5858390860779137	2.5575136328876518	0.3119803495783754	0.47509590489118403	M6	ADapoe	AD_CTL ~ M6 + e4_c
5.563358315705205	2.45539149078884	0.023465320958701602	0.08603951018190586	M7	ADapoe	AD_CTL ~ M7 + e4_c
-0.7382141862568632	2.5059480457628864	0.7683110803838762	0.7683110803838762	M8	ADapoe	AD_CTL ~ M8 + e4_c
6.345990469754837	2.6459572441262176	0.016468119109413856	0.08603951018190586	M9	ADapoe	AD_CTL ~ M9 + e4_c
2.7289469106690794	2.590404526776197	0.2921197207816024	0.47509590489118403	M10	ADapoe	AD_CTL ~ M10 + e4_c
6.8690685275838534	2.5848195166079453	0.007873066288819005	0.08603951018190586	M11	ADapoe	AD_CTL ~ M11 + e4_c
2.8690429667171387	3.0563208067312297	0.34787225389731763	0.45342559363682167	M1	ADall	AD_CTL ~ M1 + Sex + e4_c + Total_TG
