Estimate	StdError	Pval	Model	PvalFDR	Lipid	Outcome
-0.08996364489590736	0.39754120801081905	0.8209679623815846	AD_CTL ~ Cerd420	0.9091711318936558	Cer(d42:0)	AD
0.4346620169064384	0.4661305532260216	0.35108342172723794	AD_CTL ~ Cerd421_A	0.5818830064180548	Cer(d42:1)_A	AD
0.7644477166468598	0.4363143018805465	0.07976393237095386	AD_CTL ~ Cerd421_B	0.22267431120224618	Cer(d42:1)_B	AD
-0.2867382791203086	0.3713927241431345	0.4400775960945455	AD_CTL ~ DG341	0.6625887401872932	DG(34:1)	AD
-1.6554406744486994	0.44471763734733244	1.972963417949134e-4	AD_CTL ~ DG342	0.0033047137250647994	DG(34:2)	AD
-0.011992320652673149	0.20203564739901098	0.9526674039842852	AD_CTL ~ DG362	0.9671017585901077	DG(36:2)	AD
1.0478556953708187	0.3843262739012779	0.00640149442191559	AD_CTL ~ DG381_A	0.043989756540343025	DG(38:1)_A	AD
-1.2644613881567808	0.4211495792184931	0.0026785600864828027	AD_CTL ~ LacCerd321	0.02624888645052924	LacCer(d32:1)	AD
1.895911423389287	0.582310491079485	0.0011305632525677302	AD_CTL ~ LacCerd422	0.014428140556578654	LacCer(d42:2)	AD
0.15182402726746214	0.3578226141778497	0.6713472591741685	AD_CTL ~ LPC140	0.8253259883425558	LPC(14:0)	AD
0.7181583613272664	0.3675374596443604	0.05070438181733968	AD_CTL ~ LPC150_A	0.16571676008593944	LPC(15:0)_A	AD
0.34645733971587606	0.5061024325391554	0.49362179194574524	AD_CTL ~ LPC160	0.7150845418457282	LPC(16:0)	AD
0.8031903229230901	0.4437286999222099	0.07028132814367977	AD_CTL ~ LPC161	0.20141788830079413	LPC(16:1)	AD
1.1879284462174102	0.476005276915267	0.012573710127589807	AD_CTL ~ LPC180	0.06739508628388137	LPC(18:0)	AD
0.744914805937349	0.5842515176799099	0.20231280366542703	AD_CTL ~ LPC181	0.4203087704056934	LPC(18:1)	AD
-0.3552636489998508	0.47356721786155914	0.45314249603017054	AD_CTL ~ LPC182	0.6734366053560825	LPC(18:2)	AD
0.5562042999169179	0.37890454641060567	0.14212399165037942	AD_CTL ~ LPC203	0.33121069358523203	LPC(20:3)	AD
0.42252858155791123	0.41309402094321607	0.3063840822336484	AD_CTL ~ LPC204	0.5366727714942338	LPC(20:4)	AD
0.21757536752044696	0.37024460056205033	0.5567651974436376	AD_CTL ~ LPC225	0.7498144367582658	LPC(22:5)	AD
-0.0768667336848815	0.38267662655638557	0.8408033326283461	AD_CTL ~ LPC226	0.9159971266032387	LPC(22:6)	AD
1.4133393131380476	0.5001420759722366	0.004715156487021805	AD_CTL ~ LPCO160	0.03716652760358364	LPC(O-16:0)	AD
0.9334106950818246	0.5072429914669981	0.06574404692921072	AD_CTL ~ LPCP160	0.19797083794414014	LPC(P-16:0)	AD
0.21850902137879014	0.21101201293346866	0.3004220129955208	AD_CTL ~ PC280	0.533199334323176	PC(28:0)	AD
-0.2129869453352414	0.35628010506487706	0.5499683362331678	AD_CTL ~ PC300	0.7444015864166109	PC(30:0)	AD
0.07732747153351073	0.2510459814997378	0.7580662400584515	AD_CTL ~ PC301	0.8732167403886282	PC(30:1)	AD
0.11819960394822492	0.29374558908920734	0.6873987408900342	AD_CTL ~ PC310	0.8298327142276088	PC(31:0)	AD
0.13096145216477476	0.24863634832567374	0.5983888415328775	AD_CTL ~ PC311	0.7710010073596691	PC(31:1)	AD
1.5842095912145089	0.7694442737746541	0.03950372247277987	AD_CTL ~ PC320	0.1417002286835347	PC(32:0)	AD
0.10522201472877926	0.3863044383132197	0.78532902962403806	AD_CTL ~ PC321	0.8867305243254148	PC(32:1)	AD
0.6564779820394798	0.427567690180811	0.12469102917782823	AD_CTL ~ PC322	0.32131919057363434	PC(32:2)	AD
-0.08371856604222656	0.33360106591191463	0.8018495716347721	AD_CTL ~ PC330_A	0.8916833410710329	PC(33:0)_A	AD
0.6956804374831017	0.5305792664165989	0.18979981293639342	AD_CTL ~ PC331_A	0.4102124989270438	PC(33:1)_A	AD
-0.1761801217300493	0.1519295779954231	0.24620477566630403	AD_CTL ~ PC331_B	0.47108226822542604	PC(33:1)_B	AD
-0.3020701746459547	0.23436875462303525	0.1974442971972725	AD_CTL ~ PC331_C	0.41562218835428366	PC(33:1)_C	AD
1.0283535706856652	0.4974366499845442	0.03870536719391621	AD_CTL ~ PC332	0.1417002286835347	PC(33:2)	AD
1.4175634575950473	0.7604051676009602	0.06229064306411612	AD_CTL ~ PC341	0.19411502722305957	PC(34:1)	AD
1.5236527851113708	1.0210749983595768	0.13564552308486622	AD_CTL ~ PC342	0.3244276533991771	PC(34:2)	AD
0.9921622668989081	0.5338745383178732	0.06310962091373178	AD_CTL ~ PC343	0.19440664833195534	PC(34:3)	AD
-0.11308974143394247	0.37302355626717665	0.7617599224077855	AD_CTL ~ PC344	0.8732167403886282	PC(34:4)	AD
0.6944039092708948	0.5760919184799209	0.2280605018046511	AD_CTL ~ PC351	0.4561210036093022	PC(35:1)	AD
0.2742588682989369	0.4927468734105525	0.5778063588447495	AD_CTL ~ PC352	0.7553761179043554	PC(35:2)	AD
0.5617264684747061	0.5851012836102256	0.33703006732155844	AD_CTL ~ PC353	0.5753124716062271	PC(35:3)	AD
0.2700932379839455	0.4736384780778623	0.5685068653336525	AD_CTL ~ PC354_A	0.7520690658570124	PC(35:4)_A	AD
0.289939326213142	0.5812992659347032	0.617935738184929	AD_CTL ~ PC361	0.7783281194522985	PC(36:1)	AD
