Estimate	StdError	Pval	PvalFDR	Modules	Outcome	Model
1.3921335693189656	2.2201955218834932	0.5306382797633623	0.5837021077396986	M1	ADraw	AD_CTL ~ M1
-0.9094421477323731	2.2765156795444335	0.6895331941498204	0.6895331941498204	M2	ADraw	AD_CTL ~ M2
-1.6022084905274825	2.206247086116246	0.46770732149844935	0.5716422818314382	M3	ADraw	AD_CTL ~ M3
4.297162474417772	2.2660470401399064	0.057917034571911385	0.13898489206362177	M4	ADraw	AD_CTL ~ M4
-5.520363497414658	2.2578273035752594	0.014485645744855747	0.07967105159670661	M5	ADraw	AD_CTL ~ M5
3.50090610734831	2.2722677792930286	0.12338733721981823	0.19389438705971437	M6	ADraw	AD_CTL ~ M6
4.13186395828277	2.2238734788023855	0.06317495093800989	0.13898489206362177	M7	ADraw	AD_CTL ~ M7
-1.7749164011366987	2.250562211333348	0.43031386785304154	0.5716422818314382	M8	ADraw	AD_CTL ~ M8
5.0855110909421946	2.28877661679994	0.02628775125924067	0.09638842128388245	M9	ADraw	AD_CTL ~ M9
3.5605290614312612	2.239315323831393	0.11183302372491453	0.19389438705971437	M10	ADraw	AD_CTL ~ M10
6.959258003285219	2.305126817561169	0.0025358142972604415	0.027893957269864857	M11	ADraw	AD_CTL ~ M11
1.61381923512311	2.5867047632624014	0.5326998279665254	0.6510775675146422	M1	ADadj	AD_CTL ~ M1 + Sex + e4_c
-1.2664138431296614	2.5267577074894554	0.6162295721825701	0.6778525294008272	M2	ADadj	AD_CTL ~ M2 + Sex + e4_c
-2.3380124183799205	2.615504134585157	0.3713726824563708	0.5106374383775099	M3	ADadj	AD_CTL ~ M3 + Sex + e4_c
5.131285020818641	2.745033495183523	0.06158139671114247	0.13547907276451343	M4	ADadj	AD_CTL ~ M4 + Sex + e4_c
-5.040896877119166	2.493295709697847	0.04319902360466299	0.11879731491282322	M5	ADadj	AD_CTL ~ M5 + Sex + e4_c
3.061083588741685	2.6713827976297546	0.25184488997890936	0.39575625568114325	M6	ADadj	AD_CTL ~ M6 + Sex + e4_c
5.7211317758827365	2.473285478746425	0.02071324973265354	0.07594858235306298	M7	ADadj	AD_CTL ~ M7 + Sex + e4_c
-0.7052195969644369	2.5083780221413168	0.7785986805416617	0.7785986805416617	M8	ADadj	AD_CTL ~ M8 + Sex + e4_c
7.3445854076542565	2.8004057550792902	0.0087239593789516	0.0479817765842338	M9	ADadj	AD_CTL ~ M9 + Sex + e4_c
3.2845979197528177	2.7253710322999893	0.22812882824712427	0.39575625568114325	M10	ADadj	AD_CTL ~ M10 + Sex + e4_c
7.584718392847776	2.682150745072943	0.004686184519721647	0.0479817765842338	M11	ADadj	AD_CTL ~ M11 + Sex + e4_c
-0.8626245224180986	2.7400483326456624	0.7528976309735667	0.9695231797340969	M1	MCIraw	MCI_CTL ~ M1
-0.297568625543376	2.6883015427504997	0.9118620204054321	0.9695231797340969	M2	MCIraw	MCI_CTL ~ M2
0.1018860113988242	2.6667316821613665	0.9695231797340969	0.9695231797340969	M3	MCIraw	MCI_CTL ~ M3
-1.6688497499765929	2.675376476385869	0.5327712384574786	0.9695231797340969	M4	MCIraw	MCI_CTL ~ M4
0.6914898407071856	2.7524037735922446	0.8016353251212112	0.9695231797340969	M5	MCIraw	MCI_CTL ~ M5
-4.007357616500102	2.678993379960956	0.13469417186909818	0.9695231797340969	M6	MCIraw	MCI_CTL ~ M6
-0.20739561361201855	2.832797142465999	0.9416371732279827	0.9695231797340969	M7	MCIraw	MCI_CTL ~ M7
1.0020256387673658	2.6821709351638474	0.7087112062118446	0.9695231797340969	M8	MCIraw	MCI_CTL ~ M8
-2.5499969823946804	2.5914566347545556	0.32511481965781525	0.9695231797340969	M9	MCIraw	MCI_CTL ~ M9
-2.307300135406926	2.6520226615796267	0.384292075152664	0.9695231797340969	M10	MCIraw	MCI_CTL ~ M10
-0.17993271218654444	2.6748467269383256	0.9463680173744409	0.9695231797340969	M11	MCIraw	MCI_CTL ~ M11
1.6207726952801476	3.1685845777197166	0.6089917790890895	0.8360242815972382	M1	MCIadj	MCI_CTL ~ M1 + Sex + e4_c
1.5006687499322342	2.969534750794561	0.6133096336717921	0.8360242815972382	M2	MCIadj	MCI_CTL ~ M2 + Sex + e4_c
3.4858869886389448	3.161809269313457	0.27024542089272985	0.8360242815972382	M3	MCIadj	MCI_CTL ~ M3 + Sex + e4_c
-0.3450346363522653	3.2053821998610537	0.9142794601783781	0.9142794601783781	M4	MCIadj	MCI_CTL ~ M4 + Sex + e4_c
